Place,Area
Katoomba - Leura,40.8734
Lawson - Hazelbrook - Linden,46.8873
Springwood - Winmalee,69.6647
Wentworth Falls,21.0358
Blue Mountains - South,2456.9093
Cambridge Park,6.5871
Castlereagh - Cranebrook,71.5174
Emu Plains - Leonay,13.794
Glenmore Park - Regentville,9.233
Jamisontown - South Penrith,9.0181
Kingswood - Werrington,14.0229
Mulgoa - Luddenham - Orchard Hills,158.6776
Penrith,10.3941
Warragamba - Silverdale,63.6143
Richmond - Clarendon,74.6728
Windsor - Bligh Park,22.73
Yarramundi - Londonderry,81.4359
Erskine Park,8.3944
St Clair,7.2035
Colyton - Oxley Park,4.6521
St Marys - North St Marys,12.8646
Homebush Bay - Silverwater,11.2619
Rookwood Cemetery,3.015
Auburn - Central,3.7326
Auburn - North,2.0966
Auburn - South,2.4313
Berala,2.0865
Lidcombe,6.4037
Regents Park,2.0325
Carlingford,9.7457
Ermington - Rydalmere,9.8654
Oatlands - Dundas Valley,6.0763
Chester Hill - Sefton,7.2676
Fairfield - East,5.7115
Granville - Clyde,5.6083
Greystanes - Pemulwuy,11.8487
Guildford - South Granville,6.7962
Guildford West - Merrylands West,5.4654
Merrylands - Holroyd,6.7188
Smithfield Industrial,4.3017
Yennora Industrial,2.0787
North Parramatta,7.0608
North Rocks,5.3762
Northmead,5.9332
Parramatta - Rosehill,8.4965
Toongabbie - Constitution Hill,7.4795
Winston Hills,4.3479
Pendle Hill - Girraween,4.4615
Wentworthville - Westmead,3.9358
Epping - North Epping,8.8806
Pennant Hills - Cheltenham,13.2937
Eastwood - Denistone,7.8201
Gladesville - Huntleys Point,4.7162
Hunters Hill - Woolwich,4.1512
Macquarie Park - Marsfield,10.672
North Ryde - East Ryde,6.2232
West Ryde - Meadowbank,4.7923
Putney,1.5194
Ryde,7.2682
Ashcroft - Busby - Miller,5.463
Austral - Greendale,110.7146
Cobbitty - Leppington,132.1375
Badgerys Creek,17.5774
Cecil Hills,3.7478
Green Valley,3.2145
Hinchinbrook,5.225
Hoxton Park - Carnes Hill - Horningsea Park,4.1264
West Hoxton - Middleton Grange,9.2626
Bonnyrigg Heights - Bonnyrigg,5.1887
Bossley Park - Abbotsbury,9.5146
Cabramatta - Lansvale,7.5964
Cabramatta West - Mount Pritchard,5.3429
Canley Vale - Canley Heights,5.4161
Edensor Park,3.0955
Fairfield,4.2304
Fairfield - West,4.6915
Greenfield Park - Prairiewood,3.6367
Horsley Park - Kemps Creek,56.2773
Smithfield - Wetherill Park,6.6123
St Johns Park - Wakeley,3.6111
Wetherill Park Industrial,8.5566
Casula,7.0719
Chipping Norton - Moorebank,14.4902
Holsworthy - Wattle Grove,73.7001
Liverpool,6.3185
Lurnea - Cartwright,3.4665
Prestons - Edmondson Park,14.1323
Warwick Farm,4.6502
Gymea - Grays Point,5.7978
Miranda - Yowie Bay,5.9968
Sylvania - Taren Point,6.0725
Caringbah,3.9958
Caringbah South,4.0699
Cronulla - Kurnell - Bundeena,25.0865
Lilli Pilli - Port Hacking - Dolans Bay,1.2706
Woolaware - Burraneer,3.3282
Heathcote - Waterfall,27.6162
Illawong - Alfords Point,7.2978
Menai - Lucas Heights - Woronora,33.4047
Oyster Bay - Como - Jannali,8.9053
Royal National Park,139.3336
Sutherland - Kirrawee,7.7547
Engadine,8.9538
Loftus - Yarrawarrah,3.8436
Woronora Heights,3.1374
Migratory - Offshore - Shipping (NSW),0
No usual address (NSW),0
Alfredton,52.7111
Ballarat,12.3787
Ballarat - North,92.3577
Ballarat - South,32.8541
Buninyong,51.5855
Delacombe,34.1608
Smythes Creek,104.7274
Wendouree - Miners Rest,67.5734
Bacchus Marsh Region,1038.8122
Creswick - Clunes,856.7892
Daylesford,920.7579
Gordon (Vic.),850.3137
Avoca,1714.2399
Beaufort,1863.0431
Golden Plains - North,922.0812
Maryborough (Vic.),45.5379
Maryborough Region,1627.5521
Bendigo,15.974
California Gully - Eaglehawk,33.0365
East Bendigo - Kennington,17.1489
Flora Hill - Spring Gully,13.203
Kangaroo Flat - Golden Square,40.9147
Maiden Gully,42.9757
Strathfieldsaye,56.4142
White Hills - Ascot,67.7768
Bendigo Region - South,796.8536
Castlemaine,83.9291
Castlemaine Region,1514.9805
Heathcote,756.8176
Kyneton,556.4897
Woodend,211.8677
Bendigo Region - North,1440.2176
Loddon,6193.3066
Bannockburn,192.052
Golden Plains - South,1484.5292
Winchelsea,903.2573
Belmont,9.3677
Corio - Norlane,80.8135
Geelong,12.8171
Geelong West - Hamlyn Heights,32.0374
Grovedale,55.7048
Highton,40.587
Lara,588.6014
Leopold,27.9287
Newcomb - Moolap,43.2941
Newtown (Vic.),5.8078
North Geelong - Bell Park,21.9322
Clifton Springs,65.1494
Lorne - Anglesea,447.9915
Ocean Grove - Barwon Heads,156.9794
Portarlington,71.8556
Point Lonsdale - Queenscliff,61.6734
Torquay,126.3198
Alexandra,2118.9554
Euroa,2057.9046
Kilmore - Broadford,461.5232
Mansfield (Vic.),3927.8774
Nagambie,1294.3498
Seymour,79.3085
Seymour Region,1688.8307
Upper Yarra Valley,856.2714
Yea,1474.2972
Benalla,315.3043
Benalla Region,2105.3238
Rutherglen,479.3481
Wangaratta,57.5835
Wangaratta Region,3587.526
Beechworth,371.3306
Bright - Mount Beauty,4253.6537
Chiltern - Indigo Valley,513.1748
Myrtleford,553.3638
Towong,6668.7212
West Wodonga,153.8763
Wodonga,278.8131
Yackandandah,708.198
Drouin,326.806
Mount Baw Baw Region,2753.3276
Trafalgar (Vic.),501.5289
Warragul,352.1791
Alps - East,2071.2826
Bairnsdale,155.0115
Bruthen - Omeo,7377.4172
Lake King,93.8744
Lakes Entrance,214.0352
Orbost,11384.3433
Paynesville,417.8856
Foster,1498.8469
French Island,170.2291
Korumburra,600.6912
Leongatha,801.0083
Phillip Island,100.5732
Wilsons Promontory,481.5078
Wonthaggi - Inverloch,728.7626
Churchill,796.523
Moe - Newborough,105.2835
Morwell,85.4861
Traralgon,149.6729
Yallourn North - Glengarry,342.7019
Alps - West,2955.6801
Longford - Loch Sport,1610.8492
Maffra,2532.3197
Rosedale,968.4596
Sale,45.6023
Yarram,1931.8629
Brunswick,5.1425
Brunswick East,2.168
Brunswick West,3.1795
Coburg,6.9346
Pascoe Vale South,2.9887
Alphington - Fairfield,2.8853
Northcote,6.145
Thornbury,4.9972
Ascot Vale,3.8361
Essendon - Aberfeldie,8.443
Flemington,1.5808
Moonee Ponds,4.3551
Carlton,1.8185
Docklands,2.444
East Melbourne,2.8998
Flemington Racecourse,1.7093
Kensington (Vic.),2.147
Melbourne,2.369
North Melbourne,3.2492
Parkville,4.0492
South Yarra - West,1.5027
Southbank,3.0743
West Melbourne,6.1992
Albert Park,4.6747
Elwood,2.553
Port Melbourne,2.7894
Port Melbourne Industrial,6.8694
South Melbourne,2.4948
St Kilda,3.901
St Kilda East,2.4135
Armadale,2.1835
Prahran - Windsor,2.9054
South Yarra - East,2.5172
Toorak,4.3233
Abbotsford,1.7405
Carlton North - Princes Hill,2.3042
Collingwood,1.2671
Fitzroy,1.378
Fitzroy North,2.5051
Richmond (Vic.),6.2125
Yarra - North,5.2089
Ashburton (Vic.),2.8366
Balwyn,5.585
Balwyn North,8.8491
Camberwell,7.2919
Glen Iris - East,5.7049
Hawthorn,5.6721
Hawthorn East,3.824
Kew,10.534
Kew East,4.0155
Surrey Hills (West) - Canterbury,5.7026
Bulleen,6.6711
Doncaster,8.7738
Templestowe,16.1176
Templestowe Lower,5.9386
Doncaster East (North),6.4029
Doncaster East (South),4.7684
Blackburn,8.6077
Blackburn South,3.5966
Box Hill,7.012
Box Hill North,6.2087
Burwood,5.0392
Burwood East,4.263
Surrey Hills (East) - Mont Albert,3.3279
Beaumaris,5.9678
Brighton (Vic.),8.2005
Brighton East,5.6083
Cheltenham - Highett (West),5.3198
Hampton,5.6846
Sandringham - Black Rock,6.4301
Bentleigh - McKinnon,6.2242
Carnegie,3.8043
Caulfield - North,6.4189
Caulfield - South,4.7426
Elsternwick,2.8616
Hughesdale,2.0096
Murrumbeena,2.5148
Ormond - Glen Huntly,2.9371
Bentleigh East (North),4.5989
Bentleigh East (South),4.5882
Aspendale Gardens - Waterways,5.3073
Braeside,9.0819
Carrum - Patterson Lakes,5.8242
Chelsea - Bonbeach,5.423
Chelsea Heights,3.1958
Cheltenham - Highett (East),8.7377
Edithvale - Aspendale,5.1001
Mentone,4.45
Moorabbin - Heatherton,11.6997
Moorabbin Airport,3.0755
Mordialloc - Parkdale,7.9681
Malvern - Glen Iris,6.1552
Malvern East,7.5668
Bundoora - East,4.0749
Greensborough,10.0974
Heidelberg - Rosanna,6.3717
Heidelberg West,6.6912
Ivanhoe,5.0499
Ivanhoe East - Eaglemont,4.2769
Montmorency - Briar Hill,12.0278
Viewbank - Yallambie,10.2379
Watsonia,3.7856
Kingsbury,9.0093
Reservoir - East,8.9663
Reservoir - West,10.1544
Preston - East,7.7457
Preston - West,3.5679
Eltham,19.4881
Hurstbridge,14.8421
Kinglake,319.504
Panton Hill - St Andrews,292.1978
Plenty - Yarrambat,29.117
Research - North Warrandyte,49.7947
Wattle Glen - Diamond Creek,26.8245
Bundoora - North,4.715
Bundoora - West,2.5601
Lalor,12.0595
Mill Park - North,8.1362
Mill Park - South,4.9298
Thomastown,14.6852
Wallan,507.7455
Whittlesea,297.9799
Doreen,14.4616
Epping - East,7.7691
Epping - South,15.8714
Epping - West,7.3573
Mernda,23.8231
South Morang (North),13.7094
South Morang (South),7.7445
Wollert,53.8918
Airport West,3.7194
Essendon Airport,3.3549
Keilor,17.512
Keilor East,10.8916
Niddrie - Essendon West,2.8027
Strathmore,4.1444
Gisborne,211.0569
Macedon,72.9902
Riddells Creek,83.3503
Romsey,624.7096
Coburg North,4.8779
Fawkner,5.0848
Pascoe Vale,6.9844
Glenroy,8.8582
Gowanbrae,1.5225
Hadfield,3.0501
Sunbury,129.5488
Sunbury - South,131.1359
Broadmeadows,8.8268
Campbellfield - Coolaroo,18.1867
Gladstone Park - Westmeadows,13.9361
Greenvale - Bulla,95.9064
Meadow Heights,4.6252
Melbourne Airport,30.3848
Roxburgh Park - Somerton,12.2902
Tullamarine,3.8595
Craigieburn - Central,3.9686
Craigieburn - North,13.3512
Craigieburn - South,11.9148
Craigieburn - West,6.2118
Mickleham - Yuroke,70.6333
Bayswater,8.0438
Knoxfield - Scoresby,15.2651
Lysterfield,18.494
Rowville - Central,8.2003
Rowville - North,4.1688
Rowville - South,9.3532
Wantirna,8.3064
Wantirna South,13.3559
Boronia,11.2631
Ferntree Gully (North),6.9851
Ferntree Gully (South) - Upper Ferntree Gully,9.1499
The Basin,5.7163
Donvale - Park Orchards,20.8028
Warrandyte - Wonga Park,45.7591
Bayswater North,9.909
Croydon Hills - Warranwood,9.492
Ringwood,9.9105
Ringwood East,9.3929
Ringwood North,4.7307
Croydon - East,8.0982
Croydon - West,6.7979
Croydon South,2.856
Forest Hill,4.0702
Mitcham (Vic.),6.6271
Nunawading,5.0785
Vermont,4.6098
Vermont South,6.184
Belgrave - Selby,55.6519
Chirnside Park,22.2024
Healesville - Yarra Glen,369.5236
Kilsyth,8.2426
Lilydale - Coldstream,109.3818
Monbulk - Silvan,68.5552
Montrose,10.5431
Mooroolbark,12.5434
Mount Dandenong - Olinda,81.8992
Mount Evelyn,16.9894
Upwey - Tecoma,8.8907
Wandin - Seville,111.7555
Yarra Valley,729.7582
Beaconsfield - Officer,41.1778
Bunyip - Garfield,373.1113
Emerald - Cockatoo,371.6241
Koo Wee Rup,409.4351
Pakenham - North,37.2213
Pakenham - South,49.7574
Berwick - North,19.748
Berwick - South,14.8552
Doveton,5.1934
Hallam,8.0565
Narre Warren North,34.4086
Endeavour Hills - North,14.4746
Endeavour Hills - South,5.5873
Narre Warren - North East,4.874
Narre Warren - South West,9.3054
Cranbourne,13.027
Cranbourne East,42.8901
Cranbourne North,10.2394
Cranbourne South,81.6623
Cranbourne West,12.8981
Hampton Park - Lynbrook,13.3423
Lynbrook - Lyndhurst,7.3581
Pearcedale - Tooradin,98.5112
Narre Warren South (East),6.2204
Narre Warren South (West),6.777
Clarinda - Oakleigh South,6.3227
Clayton South,7.938
Dandenong,61.8243
Dandenong North,9.459
Dingley Village,7.2437
Keysborough,30.2794
Noble Park North,3.7574
Springvale,11.1052
Springvale South,4.56
Noble Park - East,3.7671
Noble Park - West,4.7945
Ashwood - Chadstone,6.7087
Clayton,9.4112
Glen Waverley - East,9.1645
Glen Waverley - West,7.6758
Mount Waverley - North,6.484
Mount Waverley - South,8.7006
Mulgrave,10.7189
Oakleigh - Huntingdale,10.1702
Wheelers Hill,10.4394
Ardeer - Albion,4.5883
Cairnlea,4.4061
Deer Park - Derrimut,21.3348
Delahey,3.5055
Keilor Downs,7.6597
Kings Park (Vic.),4.4323
St Albans - North,6.5225
St Albans - South,6.2647
Sunshine,4.732
Sunshine North,8.0239
Sunshine West,12.9688
Sydenham,3.9479
Taylors Lakes,18.4632
Altona,17.6847
Altona Meadows,10.5398
Altona North,16.1844
Newport,8.8407
Seabrook,1.6199
Williamstown,7.3463
Braybrook,7.4842
Footscray,4.967
Maribyrnong,5.4934
Seddon - Kingsville,1.6803
West Footscray - Tottenham,5.9807
Yarraville,5.6198
Bacchus Marsh,196.2984
Hillside,66.5481
Melton,130.7052
Melton South,110.9612
Melton West,24.2021
Rockbank - Mount Cottrell,125.7608
Taylors Hill,5.9679
Burnside,2.552
Burnside Heights,1.9953
Caroline Springs,6.9526
Hoppers Crossing - North,10.9136
Hoppers Crossing - South,7.0114
Laverton,22.2451
Tarneit,62.142
Truganina,27.1648
Werribee - South,114.0334
Wyndham Vale,128.2408
Point Cook - East,19.0355
Point Cook - North,8.4906
Point Cook - South,9.4222
Werribee - East,7.7569
Werribee - West,127.6632
Carrum Downs,20.3079
Frankston,11.6244
Frankston North,13.2383
Frankston South,14.5602
Langwarrin,37.6199
Seaford (Vic.),12.4321
Skye - Sandhurst,19.8152
Dromana,45.0575
Flinders,287.3793
Hastings - Somers,108.884
Mornington,21.0928
Mount Eliza,23.2077
Mount Martha,30.2094
Point Nepean,67.1875
Rosebud - McCrae,23.7957
Somerville,117.354
Ararat,161.179
Ararat Region,4023.1982
Horsham,83.0691
Horsham Region,4251.4674
Nhill Region,11042.819
St Arnaud,3008.575
Stawell,2743.4311
West Wimmera,5685.8858
Yarriambiack,7139.5816
Irymple,88.2946
Merbein,101.8248
Mildura Region,21569.5292
Red Cliffs,246.7202
Mildura - North,25.1167
Mildura - South,50.9981
Buloke,8068.6848
Gannawarra,3568.2177
Kerang,146.6076
Robinvale,181.743
Swan Hill,126.581
Swan Hill Region,5759.2126
Echuca,183.8175
Kyabram,738.862
Lockington - Gunbower,1646.3584
Rochester,351.6447
Rushworth,1633.8861
Cobram,131.5329
Moira,1498.8166
Numurkah,2321.0253
Yarrawonga,94.999
Mooroopna,39.9733
Shepparton - North,65.6581
Shepparton - South,143.2741
Shepparton Region - East,1055.5778
Shepparton Region - West,1028.6793
Glenelg (Vic.),6121.2107
Hamilton (Vic.),198.3369
Portland,63.985
Southern Grampians,6562.6438
Camperdown,98.1178
Colac,54.7344
Colac Region,1934.2763
Corangamite - North,2538.3286
Corangamite - South,1805.2082
Otway,1505.8895
Moyne - East,3275.799
Moyne - West,2037.7626
Warrnambool - North,62.4201
Warrnambool - South,120.1956
Migratory - Offshore - Shipping (Vic.),0
No usual address (Vic.),0
Alexandra Hills,13.6312
Belmont - Gumdale,33.1072
Birkdale,11.5987
Capalaba,18.889
Thorneside,2.6658
Wellington Point,9.404
Cleveland,11.8548
Ormiston,4.929
Redland Bay,46.8997
Sheldon - Mount Cotton,65.1972
Thornlands,21.6475
Victoria Point,13.4057
Redland Islands,317.0444
Brisbane Port - Lytton,32.7859
Manly - Lota,4.1989
Manly West,4.9055
Murarrie,8.4389
Tingalpa,8.9263
Wakerley,5.1962
Wynnum,6.1324
Wynnum West - Hemmant,12.2743
Bald Hills,13.3544
Bridgeman Downs,9.4789
Carseldine,4.5457
Everton Park,4.1663
McDowall,4.3856
Aspley,6.258
Chermside,3.3875
Chermside West,3.4032
Geebung,4.0441
Kedron - Gordon Park,5.22
Stafford,3.4381
Stafford Heights,2.9088
Wavell Heights,3.5792
Boondall,10.7506
Brisbane Airport,45.4859
Eagle Farm - Pinkenba,7.2338
Northgate - Virginia,6.1268
Nudgee - Banyo,13.762
Nundah,3.6728
Bracken Ridge,8.1103
Brighton (Qld),6.4901
Deagon,2.8177
Sandgate - Shorncliffe,4.3474
Taigum - Fitzgibbon,6.2815
Zillmere,3.7003
Camp Hill,4.5806
Cannon Hill,3.9526
Carina,4.3823
Carina Heights,3.3991
Carindale,10.1962
Annerley,2.8756
Coorparoo,5.3318
Fairfield - Dutton Park,2.0789
Greenslopes,2.9543
Holland Park,3.2615
Holland Park West,2.566
Woolloongabba,2.4051
Yeronga,6.0918
Eight Mile Plains,7.6829
Macgregor (Qld),2.6853
Mansfield (Qld),5.3088
Mount Gravatt,7.3648
Rochedale - Burbank,47.346
Upper Mount Gravatt,4.212
Wishart,4.787
Coopers Plains,4.3818
Moorooka,4.0941
Robertson,1.9048
Salisbury - Nathan,9.5473
Tarragindi,4.5496
Algester,3.6903
Calamvale - Stretton,19.736
Pallara - Willawong,26.6979
Parkinson - Drewvale,12.6742
Rocklea - Acacia Ridge,22.446
Kuraby,4.6423
Runcorn,6.6898
Sunnybank,4.387
Sunnybank Hills,6.4409
Jindalee - Mount Ommaney,4.8007
Middle Park - Jamboree Heights,2.6736
Riverhills,2.1789
Seventeen Mile Rocks - Sinnamon Park,5.4184
Westlake,1.9039
Bellbowrie - Moggill,17.4209
Brookfield - Kenmore Hills,58.0413
Chapel Hill,5.3985
Fig Tree Pocket,4.2808
Kenmore,5.2795
Pinjarra Hills - Pullenvale,44.1902
Chelmer - Graceville,3.2389
Corinda,2.884
Indooroopilly,7.3543
Sherwood,2.2804
St Lucia,3.4245
Taringa,2.1143
Enoggera,9.6008
Enoggera Reservoir,37.694
Keperra,5.1926
Mitchelton,4.2224
Mount Coot-tha,14.5975
The Gap,12.2584
Upper Kedron - Ferny Grove,13.2023
Brisbane City,2.3663
Fortitude Valley,1.2745
Highgate Hill,1.21
Kangaroo Point,1.3389
New Farm,2.1438
South Brisbane,2.0168
Spring Hill,1.2432
West End,1.9654
Balmoral,1.3831
Bulimba,2.0607
East Brisbane,1.8712
Hawthorne,1.3864
Morningside - Seven Hills,6.6452
Norman Park,2.2523
Albion,1.5055
Alderley,2.4567
Ascot,2.4681
Clayfield,2.9262
Grange,1.7881
Hamilton (Qld),1.6387
Hendra,2.6919
Kelvin Grove - Herston,3.3694
Newmarket,1.6584
Newstead - Bowen Hills,3.0555
Wilston,1.3878
Windsor,2.9152
Wooloowin - Lutwyche,3.0846
Ashgrove,6.5216
Auchenflower,1.2722
Bardon,4.6853
Paddington - Milton,3.5836
Red Hill (Qld),1.69
Toowong,3.8828
Brinsmead,5.1185
Clifton Beach - Kewarra Beach,37.5348
Freshwater - Stratford,15.1182
Redlynch,59.3881
Trinity Beach - Smithfield,22.1512
Yorkeys Knob - Machans Beach,21.0049
Bentley Park,6.8595
Cairns City,6.1989
Earlville - Bayview Heights,7.8621
Edmonton,19.9982
Gordonvale - Trinity,327.0868
Kanimbla - Mooroobool,7.6847
Lamb Range,212.6428
Manoora,2.2314
Manunda,4.2458
Mount Sheridan,6.7389
Westcourt - Bungalow,9.7287
White Rock,9.5277
Whitfield - Edge Hill,6.9258
Woree,5.7346
Babinda,669.1832
Innisfail,53.0453
Johnstone,1294.6919
Tully,3065.1355
Wooroonooran,754.2885
Yarrabah,158.8381
Daintree,2231.2024
Port Douglas,189.8889
Atherton,235.1886
Herberton,9566.224
Kuranda,591.3183
Malanda - Yungaburra,1254.9789
Mareeba,480.2031
Balonne,31103.7071
Chinchilla,8048.7229
Goondiwindi,830.2795
Inglewood - Waggamba,17515.6301
Miles - Wandoan,11841.615
Roma,78.0284
Roma Region,58626.3624
Tara,13208.4392
Crows Nest - Rosalie,3250.6881
Jondaryan,2130.3447
Millmerran,4517.0063
Pittsworth,1054.9291
Wambo,5700.3325
Clifton - Greenmount,1263.9472
Southern Downs - East,1634.4229
Southern Downs - West,2684.5631
Stanthorpe,33.6496
Stanthorpe Region,2658.6655
Warwick,158.7232
Central Highlands - East,18635.1606
Central Highlands - West,41551.251
Emerald,38.9821
Berserker,10.0234
Bouldercombe,1348.7805
Emu Park,40.8379
Frenchville - Mount Archer,30.2572
Glenlee - Rockyview,208.0475
Gracemere,153.886
Lakes Creek,16.8069
Mount Morgan,490.6655
Norman Gardens,36.0391
Park Avenue,4.9631
Parkhurst - Kawana,28.4078
Rockhampton - West,34.5491
Rockhampton City,51.1683
Rockhampton Region - East,680.8738
Rockhampton Region - North,7572.5912
Rockhampton Region - West,4359.2244
Shoalwater Bay,3176.9624
The Range - Allenstown,5.4954
Yeppoon,78.5555
Banana,28531.2933
Biloela,18.8932
Agnes Water - Miriam Vale,3772.801
Boyne Island - Tannum Sands,122.9585
Callemondah,32.726
Clinton - New Auckland,22.7815
Gladstone,10.2312
Gladstone Hinterland,6465.4027
Kin Kora - Sun Valley,2.6877
South Trees,24.1106
Telina - Toolooa,23.5131
West Gladstone,7.0739
Broadbeach Waters,5.3144
Burleigh Heads,8.5593
Burleigh Waters,6.7193
Mermaid Beach - Broadbeach,2.9988
Mermaid Waters,7.0845
Miami,2.9963
Coolangatta,1.9003
Currumbin - Tugun,7.9265
Currumbin Waters,9.9207
Elanora,8.8935
Palm Beach,6.3315
Arundel,9.7383
Biggera Waters,3.1747
Coombabah,11.6056
Labrador,4.9957
Paradise Point - Hollywell,5.6629
Runaway Bay,5.4921
Guanaba - Springbrook,303.7769
Tamborine - Canungra,524.1823
Currumbin Valley - Tallebudgera,114.4722
Mudgeeraba - Bonogin,66.6425
Reedy Creek - Andrews,8.0893
Carrara,14.5907
Highland Park,4.6312
Nerang - Mount Nathan,61.4986
Pacific Pines - Gaven,16.4182
Worongary - Tallai,26.0146
Coomera,24.6577
Helensvale,20.1329
Hope Island,55.7798
Jacobs Well - Alberton,153.7124
Ormeau - Yatala,72.1503
Oxenford - Maudsland,26.8573
Pimpama,40.7288
Upper Coomera - Willow Vale,125.8424
Clear Island Waters,4.4005
Merrimac,8.3221
Robina,14.9592
Varsity Lakes,5.9507
Ashmore,6.8309
Molendinar,7.6539
Parkwood,6.2058
Southport - North,7.6161
Southport - South,6.6527
Benowa,6.5537
Bundall,3.902
Main Beach,3.5492
Surfers Paradise,5.7961
Darra - Sumner,7.464
Durack,4.3652
Forest Lake - Doolandella,15.0377
Inala - Richlands,10.8744
Oxley (Qld),6.9162
Wacol,19.0567
Boonah,2099.4271
Esk,1889.6919
Lake Manchester - England Creek,112.8254
Lockyer Valley - East,741.5888
Lowood,617.6974
Rosewood,674.5527
Brassall,8.2061
Bundamba,17.2488
Churchill - Yamanto,9.3656
Ipswich - Central,7.8712
Ipswich - East,11.4813
Ipswich - North,65.1896
Karalee - Barellan Point,19.2137
Karana Downs,62.1929
Leichhardt - One Mile,20.2238
North Ipswich - Tivoli,9.564
Raceview,9.1487
Ripley,130.5659
Riverview,7.7848
Bellbird Park - Brookwater,16.103
Camira - Gailes,9.396
Carole Park,4.0275
Collingwood Park - Redbank,15.7432
Goodna,7.8594
New Chum,5.9998
Redbank Plains,19.3743
Springfield,6.6757
Springfield Lakes,18.4141
Beaudesert,1628.0131
Beenleigh,7.6722
Eagleby,13.816
Edens Landing - Holmview,6.6117
Mount Warren Park,4.2169
Wolffdene - Bahrs Scrub,27.8338
Boronia Heights - Park Ridge,31.9523
Browns Plains,7.329
Chambers Flat - Logan Reserve,36.3071
Crestmead,6.9676
Greenbank Military Camp,40.5687
Hillcrest,9.3798
Marsden,6.9167
Munruben - Park Ridge South,20.7728
Regents Park - Heritage Park,9.385
Greenbank,258.4524
Jimboomba,249.6587
Logan Village,74.3213
Bethania - Waterford,12.6296
Cornubia - Carbrook,37.5373
Loganholme - Tanah Merah,13.2828
Loganlea,11.3071
Shailer Park,8.0261
Waterford West,5.9446
Daisy Hill,8.9794
Kingston (Qld.),6.8058
Logan Central,5.1335
Rochedale South - Priestdale,13.0112
Slacks Creek,8.3056
Springwood,6.1501
Underwood,4.1871
Woodridge,4.67
Bowen,52.6281
Broadsound - Nebo,27991.3921
Clermont,27669.8866
Collinsville,21092.2365
Moranbah,3046.6387
Andergrove - Beaconsfield,17.556
East Mackay,4.6173
Eimeo - Rural View,22.1194
Eungella Hinterland,2048.7748
Mackay,3.973
Mackay Harbour,10.1718
Mount Pleasant - Glenella,56.1818
North Mackay,9.6827
Ooralea - Bakers Creek,48.6972
Pioneer Valley,1184.1722
Sarina,1439.646
Seaforth - Calen,2104.086
Shoal Point - Bucasia,17.8539
Slade Point,8.893
South Mackay,6.8909
Walkerston - Eton,624.1895
West Mackay,5.7909
Airlie - Whitsundays,304.0111
Cape Conway,295.3659
Proserpine,2074.6506
Beachmere - Sandstone Point,110.0961
Bribie Island,145.3505
Burpengary - East,27.2033
Caboolture,74.4529
Caboolture - South,13.9768
Elimbah,101.1794
Morayfield - East,8.5225
Wamuran,89.386
Kilcoy,2863.2648
Woodford - D'Aguilar,525.0208
Burpengary,22.3343
Deception Bay,31.878
Morayfield,24.9311
Narangba,37.7088
Upper Caboolture,55.5614
Clontarf,6.3079
Margate - Woody Point,4.2806
Redcliffe,4.1828
Rothwell - Kippa-Ring,15.3908
Scarborough - Newport - Moreton Island,183.4277
Albany Creek,9.7817
Cashmere,45.2329
Dayboro,406.8379
Eatons Hill,9.1057
The Hills District,31.6238
Samford Valley,166.0989
Dakabin - Kallangur,16.637
Murrumba Downs - Griffin,22.5196
North Lakes - Mango Hill,27.1609
Bray Park,4.4865
Lawnton,9.2992
Petrie,6.7374
Strathpine - Brendale,17.8734
Aurukun,7423.989
Cape York,112960.6967
Croydon - Etheridge,68697.198
Kowanyama - Pormpuraaw,6950.6982
Northern Peninsula,1052.0676
Tablelands,52403.0178
Torres,883.731
Torres Strait Islands,490.031
Weipa,16.1611
Carpentaria,114445.7683
Mount Isa,62.8098
Mount Isa Region,84056.1136
Northern Highlands,108517.4841
Barcaldine - Blackall,83919.9037
Charleville,40699.7585
Far Central West,271279.763
Far South West,188751.2847
Longreach,40572.2443
Buderim - North,24.1124
Buderim - South,30.1384
Mountain Creek,7.368
Sippy Downs,14.7651
Aroona - Currimundi,5.5136
Buddina - Minyama,4.0969
Caloundra - Kings Beach,3.9911
Caloundra - West,71.6378
Golden Beach - Pelican Waters,10.453
Moffat Beach - Battery Hill,3.8929
Parrearra - Warana,6.8866
Wurtulla - Birtinya,6.6343
Coolum Beach,18.1108
Marcoola - Mudjimba,32.8881
Maroochydore - Kuluin,13.8495
Mooloolaba - Alexandra Headland,5.5009
Noosa Heads,13.0071
Noosaville,26.4403
Sunshine Beach,7.2839
Tewantin,25.618
Peregian Beach - Marcus Beach,13.6938
Peregian Springs,6.0601
Beerwah,148.6221
Caloundra Hinterland,459.3262
Glass House Mountains,184.2289
Landsborough,134.3176
Maroochy Hinterland,526.3125
Palmwoods,115.2091
Bli Bli,44.7696
Diddillibah - Rosemount,31.3023
Eumundi - Yandina,215.7896
Nambour,54.0249
Noosa Hinterland,820.066
Cambooya - Wyreema,227.5384
Darling Heights,12.536
Drayton - Harristown,16.278
Gatton,49.9777
Gowrie (Qld),81.0101
Highfields,149.2803
Lockyer Valley - West,1480.2184
Middle Ridge,8.6802
Newtown (Qld),5.5435
North Toowoomba - Harlaxton,10.3068
Rangeville,8.2521
Toowoomba - Central,9.5179
Toowoomba - East,19.4162
Toowoomba - West,161.2954
Wilsonton,18.9445
Ayr,69.829
Burdekin,4878.6303
